tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2017-7182,Happy Valley CH,Hard,32,C,20170102,272,125802,,,Ilya Ivashka,R,193,BLR,22.8,105596,,,Jan Satral,R,188,CZE,26.4,6-3 6-4,3,R32,81,6,0,67,42,30,15,10,3,3,1,7,62,28,18,19,9,5,7,179,321,161,371
2004-2165,Nashville CH,Hard,32,C,20041108,3,104224,,Q,Travis Rettenmaier,R,188,USA,21.2,104167,,LL,Todd Widom,R,,USA,21.5,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,485,47,294,113
2008-3352,Bogota CH,Clay,32,C,20080922,22,104268,4,,Alejandro Falla,L,185,COL,24.8,104738,,,Caio Zampieri,R,183,BRA,22.3,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,,116,410,243,160
1991-754,Ljubljana CH,Clay,32,C,19910506,25,101703,1,,Guillaume Raoux,R,180,FRA,21.2,102001,7,,German Lopez,R,193,ESP,19.3,6-3 7-5,3,QF,,,,,,,,,,,,,,,,,,,,101,379,140,235
2017-7395,Buenos Aires CH,Clay,32,C,20171009,293,104547,1,,Horacio Zeballos,L,188,ARG,32.4,104216,,,Maximo Gonzalez,R,175,ARG,34.2,6-2 7-6(1),3,R16,113,3,2,83,45,32,19,10,8,10,2,2,72,46,28,10,10,7,11,67,793,236,214
2007-2117,Rimini CH,Clay,32,C,20070716,27,104095,,,David Guez,R,185,FRA,24.6,104736,,,Farrukh Dustov,R,196,UZB,21.1,6-2 6-4,3,QF,,,,,,,,,,,,,,,,,,,,169,251,186,224
2003-313,Bristol CH,Grass,32,C,20030707,8,102184,8,,David Prinosil,R,185,GER,30.3,103993,,WC,Chris Lewis,R,180,GBR,21.1,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,237,137,502,40
2018-7586,Canberra CH,Hard,32,C,20181029,237,202322,,WC,Erik Holt Crossman,U,,AUS,21.4,120542,,,David Barclay,R,,AUS,28.1,4-6 7-6(2) 6-4,3,Q1,168,9,6,115,68,46,22,16,5,9,10,8,113,69,48,18,16,9,13,,,1582,2
1993-227,Neu Ulm CH,Clay,32,C,19930712,10,101685,,,Markus Naewie,R,190,GER,23.5,102118,,Q,Radomir Vasek,R,188,CZE,20.7,4-6 6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,124,344,481,38
1981-260,Le Touquet CH,Clay,32,C,19810817,276,100246,,,Frank Puncec,R,,RSA,30.1,100464,,,Warren Maher,R,,AUS,24.5,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
