tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1996-615,Dusseldorf,Clay,32,A,19960520,15,101434,,,Petr Korda,L,190,CZE,28.3,101774,,,Todd Martin,R,198,USA,25.8,6-3 3-6 6-2,3,RR,103,2,5,80,59,43,9,13,6,8,0,2,85,53,35,16,13,7,11,36,973,18,1345
1984-520,Roland Garros,Clay,128,G,19840528,96,100656,2,,Ivan Lendl,R,188,USA,24.2,100769,,,Mario Martinez,R,170,BOL,22.6,6-1 6-0 6-1,5,R64,,,,,,,,,,,,,,,,,,,,2,,73,
1979-416,Rome,Clay,64,M,19790521,267,100232,4,,Eddie Dibbs,R,170,USA,28.2,100383,,,Peter Mcnamara,R,185,AUS,23.8,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,8,,60,
1974-2034,Palm Desert WCT,Hard,32,A,19740331,31,100029,,,Rod Laver,L,173,AUS,35.6,100255,,,Roscoe Tanner,L,183,USA,22.4,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,9,,26,
1977-319,Kitzbuhel,Clay,32,A,19770711,24,100434,,,Tomas Smid,R,190,CZE,21.1,100174,2,,Manuel Orantes,L,178,ESP,28.4,7-5 7-5,3,R16,,,,,,,,,,,,,,,,,,,,89,,6,
1995-741,Nottingham,Grass,32,A,19950619,6,101150,,,Gianluca Pozzi,L,180,ITA,30.0,101890,,,Jonathan Stark,R,188,USA,24.2,6-7(5) 7-6(0) 6-4,3,R32,129,4,7,126,68,56,29,17,5,6,15,10,104,66,56,14,17,3,5,91,483,70,609
1993-402,Memphis,Hard,64,A,19930208,10,101774,,,Todd Martin,R,198,USA,22.5,101932,,LL,Jared Palmer,R,190,USA,21.6,6-4 6-4,3,R64,77,5,0,59,38,25,13,10,2,4,2,0,58,39,26,6,10,3,7,96,440,154,277
2005-741,Nottingham,Grass,32,A,20050613,19,102202,,,Kenneth Carlsen,L,190,DEN,32.1,103103,3,,Dominik Hrbaty,R,183,SVK,27.4,6-4 6-4,3,R16,65,5,0,52,35,28,12,10,0,0,3,0,57,29,22,16,10,1,3,52,705,24,1246
2017-0316,Bastad,Clay,32,A,20170717,276,104460,,,Dustin Brown,R,196,GER,32.6,105064,,,Thomaz Bellucci,L,188,BRA,29.5,6-4 6-3,3,R32,71,0,1,61,37,26,12,10,1,3,3,3,52,29,17,12,9,3,7,93,560,65,702
1995-419,Indianapolis,Hard,56,A,19950814,18,101543,,,Jeff Tarango,L,180,USA,26.7,101515,,Q,Donald Johnson,L,190,USA,26.9,6-2 6-4,3,R64,76,4,4,60,31,24,15,9,5,6,5,9,64,36,23,11,9,9,13,62,665,279,121
1981-254,Johannesburg,Hard,32,A,19810406,18,201470,,,Tian C Viljoen,R,191,RSA,19.9,107078,,,George Rudman,R,,RSA,31.5,6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2021-9428,Murray River Open,Hard,64,A,20210201,274,200000,3,,Felix Auger Aliassime,R,193,CAN,20.4,105216,,,Yuichi Sugita,R,173,JPN,32.3,6-3 6-1,3,R32,65,12,2,49,31,27,9,8,3,3,2,2,46,25,15,9,8,2,6,21,2241,104,721
1974-2018,Hempstead WCT,Hard,32,A,19740218,11,100251,,,Grover Raz Reid,R,,USA,22.4,100141,,,Zeljko Franulovic,R,,CRO,26.6,7-6(6) 6-1,3,R32,,,,,,,,,,,,,,,,,,,,212,,70,
1973-583,Manchester,Grass,64,A,19730604,253,209681,,,John Anthony Southworth,U,,GBR,,211305,,,C R Evans,U,,GBR,,6-0 6-0,3,R64,,,,,,,,,,,,,,,,,,,,,,,
1974-7310,Beckenham,Grass,128,A,19740610,297,100321,,,Vijay Amritraj,R,193,IND,20.4,100354,,,Bernard Mitton,R,188,RSA,19.5,6-2 6-1,3,QF,,,,,,,,,,,,,,,,,,,,24,0,129,0
1996-322,Zagreb,Carpet,32,A,19960129,20,101391,,,Carl Uwe Steeb,L,180,GER,28.4,210013,,,Martin Damm Sr,R,188,CZE,23.4,2-6 6-4 7-6(7),3,R16,136,1,1,54,32,24,8,9,2,5,5,0,57,36,26,9,9,7,9,83,562,,
2002-421,Canada Masters,Hard,64,M,20020729,12,103900,15,,David Nalbandian,R,180,ARG,20.5,102642,,Q,Cyril Saulnier,R,190,FRA,26.9,6-4 6-3,3,R64,94,6,3,68,40,27,15,9,7,8,12,4,86,41,30,17,10,17,21,14,1626,156,243
