player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
128450,Jacek,Wilanowski,U,19740210,POL,,
212691,,,,,,,
139003,Alejandro,Fierro,U,19941227,MEX,,
100055,Cliff,Drysdale,R,19410526,RSA,188,Q582003
147598,Bill,Campbell,U,,USA,,
108383,Thomas,Breuninger,R,19700505,GER,,
203005,Franck,Hamonet,U,19650510,FRA,,
105090,Marcos,Conocente,R,19880209,ARG,,
204464,Guido,Sola,U,19880410,ARG,,
125517,Hague,Van Dillen,U,19850314,USA,,
152078,P,Banting,U,,GBR,,
119939,Saman,Koohestani,U,19901206,IRI,,
144530,Kirk,Hamilton,U,19860801,JAM,,
110306,Peter,Bahr,U,,AUT,,
120002,Luis David,Viruega Diaz,U,19880628,MEX,,
202679,Paul,Dougherty,U,,AUS,,
100890,Rashid,Malik,R,19630202,PAK,,
134639,Dominik,Petrisic,U,19990612,GER,,
129490,Feruz,Nurov,U,19880101,UZB,,
208291,Antonio Pedro,Pragana,U,20010726,POR,,
204260,Mauro,Rodighiero,U,19800208,ITA,,
118568,Tarek,Bel Guezzar,U,19761207,MAR,,
205116,Lovro,Rados,U,19910307,CRO,,
110703,Badr,Bouabdellah,R,19850105,MAR,,
115028,James,Schaffer,U,,USA,,
116394,Wc,Harrison,U,,USA,,
206272,Alessandro,Procopio,U,19980311,ITA,,
116878,John,Isaacs,U,,USA,,
133266,Daniel,Pam,U,19970815,ISR,,
101378,Tore,Meinecke,R,19670721,GER,180,Q91206
134297,Almantas,Ozelis,U,19960530,LTU,,
110837,Craig,Smith,U,19630803,BAR,,
136450,Diego Alejandro,Pinto,U,19950814,BOL,,
123746,Joshua,Mactaggart,U,19910617,GBR,,
137999,Sam,Golder,R,19950606,GBR,,
110168,Mario,Delgado,R,19550518,CRC,,
210158,Raffael,Schaer,U,20020430,SUI,,
139386,Oscar,Soler Sola,U,19820515,ESP,,
200696,Coilin,Macnamara,U,19960611,IRL,,
136922,Millind,Seth,R,19930522,IND,,
146987,Manuel,Prieto,U,,VEN,,
130820,Steve,Kirk,U,19610929,CAN,,
203172,Kamran,Khalil,U,19790219,PAK,,
111733,Edgar,Rodriguez,U,19880430,COL,,
145742,Doug,Fuller,U,,USA,,
206045,Benjamin,Fuenzalida,U,19971128,CHI,,
129414,Slizad,Toth,U,,HUN,,
205495,Alejandro,Martinez,U,19890626,ARG,,
152033,B P,Greenwood,U,,,,
123202,Yuji,Ohno,U,19690515,JPN,,
130572,Andres,Coello,U,19930315,ECU,,
204032,Alessandro,De Berardis,U,19761228,ITA,,
130245,Mikhail,Saldin,U,19900531,RUS,,
136826,Vyacheslav,Kuznetsov,U,19940915,RUS,,
124950,Jeremy,Aksdal Jensen,U,19720511,GBR,,
127143,Jirat,Navasirisomboon,R,19961117,THA,,Q28648815
207979,Stefan,Dragovic,U,20001205,MNE,,
136184,Elias,Chala,U,19910407,COL,,
127664,Gabriel,Camargo,U,19921124,BRA,,
212718,Heve,Kelley,U,19970329,POC,,
118885,Tae Hoon,An,R,19810201,KOR,,
146567,Anatoly,Chuganov,U,,URS,,
131813,Mike,Tammen,R,19580522,USA,,
126365,Sandeep,Tirdala,U,19950521,IND,,
206387,Diego,Le Gal Perez,R,19990122,ESP,,
151797,M,Nichols,U,,USA,,
209516,Valentin,Lapalu,U,20020313,FRA,,
139566,Henning,Wistorf,U,,GER,,
107255,Jacek,Niedzwiedzki,R,19510107,POL,,Q14174828
133412,Alex,Dominguez Soto,R,19980216,ESP,,
148019,J,Grice,U,,AUS,,
212000,Korlak,Charachuinda,U,,THA,,
148722,,Avallone,U,,ITA,,
127332,Bernardo,Broca Uribe,U,19840511,MEX,,
138230,Enrico,Beni,U,19941030,ITA,,
125140,Bram,Ten Berge,R,19860209,NED,,Q27329680
207388,Maximilien,Blancaneaux,U,19960730,FRA,,
209691,F R,Burns,U,,GBR,,
132705,Joshua,Schramm,U,19940619,GER,,
138551,Edward,Lube,U,19890225,USA,,
133416,Guillermo,Nicolas,U,19970612,ESP,,
142582,Marco,Chimirri,U,19860228,ITA,,
130611,Clay,Estes,U,19801210,USA,,
101161,Thomas,Haldin,R,19650711,SWE,185,Q68593394
144248,Miguel,Costa Marino,U,19880808,ESP,,
202453,Leon,Soonalole,U,19850423,POC,,
139742,Bedii,Kiremit,U,19831226,TUR,,
111505,Enzo,Couacaud,R,19950301,FRA,183,Q15618609
112877,Dick,Covington,U,,USA,,
211326,Gunawan,Trismuwantara,U,,INA,,
141428,Fabio,Salustri,U,19711027,ITA,,
132317,Diogo,Garnel,U,19951210,POR,,
121388,Kirill,Kokhanov,U,19930626,RUS,,
107214,Howard,Mcguiness,R,,GBR,,
200246,Leon,Schwarz,U,19970303,GER,,
135573,Bruno,Medeiros,U,19920202,BRA,,
135116,Ricardo,Elsink,U,19901021,NED,,
151848,F C,Stroebel,U,,USA,,
136773,Yann,Auradou,U,19890417,FRA,,
212079,Josh,Roe Flannelly,U,,IRL,,
142277,Bjorn,Holdt,U,19830316,NAM,,
101058,Francisco,Yunis,R,19640812,ARG,190,Q5484068
201307,Ganisher,Rahmatullaev,R,,UZB,,
111791,Viktor,Kostin,U,19960312,GER,,
208929,Manuel,Massimino,U,,ITA,,
131381,Herman,Van De Casteele,U,19711216,BEL,,
142574,Yosuke,Takahashi,U,19801014,JPN,,
139505,Yang Soo,Kim,U,19830704,KOR,,
205653,Alexander,Eygel,U,19930120,RUS,,
150844,Frank,Lewis,U,,USA,,
120349,Eduardo,Saratt,U,19880726,BRA,,
204010,Luciano,Benincasa,U,19690622,ARG,,
209752,Bill,Light,U,,USA,,
113907,Jack,Miley,U,,IRL,,
131008,Andre,Teles,U,19770805,BRA,,
145287,G T,Van Beem,U,,NED,,
131028,Carlos,Orozco,U,19590317,MEX,,
206195,Gustavo,Borges Rodrigues Da Cunha,U,20000212,BRA,,
211957,Buddy,Mccune,U,,USA,,
110406,Terry,Hassell,U,,,,
110563,Scott,Sears,R,19900830,GBR,,
140077,Jason,Foust,U,19730108,USA,,
202581,Wanaro,Ngodrella,U,19491018,FRA,,Q3566000
203367,Theodore,Pierre,U,19681119,HAI,,
107883,Oleg,Dmitriev,U,19830913,RUS,,
108485,Volker,Venohr,R,19651010,GER,,
147823,Hans,Adema Van Scheltema,U,19460507,NED,,
212671,Marsel,Znuderl,U,20031022,SLO,,
129903,Kwong,Fu,U,19750904,HKG,,
100033,Wilhelm,Bungert,R,19390401,GER,188,Q77579
