ranking_date,rank,player,points
19840820,327,100675,
20080825,468,103682,59
19921130,202,101131,167
19750120,25,100128,
20130624,236,105732,204
20011126,1223,104736,3
19940131,974,101346,5
20120507,1531,106359,1
20050523,986,106644,7
20021104,866,103774,9
20020930,221,103077,157
20130408,1568,124120,1
19860616,765,107838,
20011022,1287,104195,2
20060306,776,104464,17
19930913,719,101267,14
19951113,370,101871,76
20010416,1111,102846,3
20180716,1384,200434,3
20010507,1322,102496,1
20071203,183,103451,233
20040405,1203,102766,3
20170206,478,105399,81
20090209,1887,120812,2
20050328,1466,125917,1
20110411,325,105872,143
19960520,290,102298,116
20010723,1338,117608,1
19991101,453,102718,59
19891106,481,101325,
20151102,806,104544,25
19911028,276,101321,91
20041025,1031,102812,5
20190812,1549,208384,2
20040322,1422,104348,1
20140929,822,124001,22
20061016,264,104384,148
19940926,481,102433,47
20110919,351,105052,123
19990628,824,102777,12
19980622,792,102270,14
20120102,1081,105941,6
20150615,1100,122617,9
19990906,1161,117688,3
20231023,1557,206916,2
20140203,346,105401,125
20060424,1519,125939,1
19990726,601,103249,32
20211004,1242,200225,5
19870202,172,100690,
20170206,1771,102033,1
19920323,398,107460,49
20081208,1757,117787,1
19990412,791,102226,14
20040202,1270,109151,2
20220103,1352,208257,4
19911118,982,101363,3
20081110,1660,105815,1
20131216,1004,106114,11
19980420,36,101889,1051
20240527,1028,212020,12
20121008,245,105095,190
20060605,884,103770,13
19981005,30,102148,1230
20021118,247,101964,120
20110321,1697,105814,1
19870309,4,100676,
20080721,907,103901,12
20131118,1350,121419,4
20100208,571,105090,44
20130923,887,105557,16
20130415,320,104563,132
19980615,913,103168,9
20070115,884,102996,12
20070507,1105,120264,5
20081006,1562,118148,1
19860224,783,101101,
20091019,1429,106220,2
20121203,620,105012,38
20081215,626,105332,34
19900226,281,101730,69
19870323,865,108532,
20130909,1787,122059,1
20000221,723,101651,14
19951030,706,102939,15
20210412,1685,121942,1
19980202,731,100877,17
20050627,404,103217,73
20180910,1428,207307,3
20100705,844,103286,12
20121022,374,105031,110
20151221,344,105674,134
19870615,363,101180,
19960129,365,101823,79
19880229,446,101419,
20210322,662,106377,38
19880328,318,101211,
19950703,1041,123172,4
20071231,974,104843,9
19970602,795,103242,
20060918,1330,110700,3
19910318,705,102043,
20111114,1408,105375,2
20110815,739,105837,19
20160104,126,105216,472
19900723,43,101233,577
20040531,387,104242,76
19970519,230,102250,174
20200120,1454,207814,2
20050418,331,103837,103
20110228,1028,105979,6
20060327,66,104925,596
20070122,1541,109441,1
19811221,19,100532,
20120611,118,103799,447
19920106,1131,108463,1
20220103,274,103893,211
19900212,901,101236,4
20111205,1116,105813,5
19900730,866,106503,3
20191223,1026,208013,9
19960205,1278,122853,1
20141110,1568,144816,2
20161017,730,110539,30
19931018,595,102796,26
20120305,1715,106049,1
19970616,814,102278,12
19980928,1246,101334,2
20030106,588,104169,29
20060710,1064,103121,7
20130708,133,104882,427
19860714,773,107202,
20020916,535,103421,37
20060717,863,105008,14
19990816,863,103610,11
20150119,2040,109343,1
19990809,1100,102541,4
19951204,159,101214,287
19980629,847,103303,
20220822,1750,210378,1
20051114,399,104334,73
20230109,1811,207893,1
20080609,452,104181,63
20211108,1025,106106,11
20220801,1135,210178,5
19940425,329,106837,83
20140407,1242,110599,5
20040614,994,107243,6
19991220,897,102076,9
19890731,144,101731,
20180115,1683,132432,1
20091116,978,104734,9
19980112,1060,102260,6
20210802,606,126135,48
19910527,902,107674,3
20211025,463,105595,78
20120102,959,104567,8
20170814,1561,122484,2
19900709,1038,101610,1
20131223,313,105590,140
19910715,45,101820,619
