tourney_name,winner_name,loser_name,minutes
Pune,Benoit Paire,Marton Fucsovics,182.0
Australian Open,Damir Dzumhur,Paolo Lorenzi,225.0
Australian Open,Diego Schwartzman,Dusan Lajovic,239.0
Australian Open,Casper Ruud,Quentin Halys,256.0
Australian Open,Pablo Carreno Busta,Jason Kubler,211.0
Australian Open,Malek Jaziri,Salvatore Caruso,242.0
Australian Open,Ryan Harrison,Dudi Sela,219.0
Australian Open,Marin Cilic,Vasek Pospisil,197.0
Australian Open,Andrey Rublev,David Ferrer,230.0
Australian Open,Kyle Edmund,Kevin Anderson,239.0
Australian Open,Ruben Bemelmans,Lucas Pouille,191.0
Australian Open,Daniil Medvedev,Thanasi Kokkinakis,209.0
Australian Open,Julien Benneteau,Taro Daniel,207.0
Australian Open,Marton Fucsovics,Radu Albot,196.0
Australian Open,Nicolas Kicker,Jordan Thompson,222.0
Australian Open,Lukas Lacko,Milos Raonic,202.0
Australian Open,Lorenzo Sonego,Robin Haase,183.0
Australian Open,Gilles Muller,Malek Jaziri,242.0
Australian Open,Grigor Dimitrov,Mackenzie Mcdonald,205.0
Australian Open,Andrey Rublev,Marcos Baghdatis,182.0
Australian Open,Jo-Wilfried Tsonga,Denis Shapovalov,217.0
Australian Open,Ivo Karlovic,Yuichi Sugita,273.0
Australian Open,Dominic Thiem,Denis Kudla,228.0
Australian Open,Adrian Mannarino,Jiri Vesely,188.0
Australian Open,Maximilian Marterer,Fernando Verdasco,207.0
Australian Open,Juan Martin del Potro,Karen Khachanov,225.0
Australian Open,Pablo Carreno Busta,Gilles Muller,198.0
Australian Open,Grigor Dimitrov,Andrey Rublev,184.0
Australian Open,Nick Kyrgios,Jo-Wilfried Tsonga,197.0
Australian Open,Kyle Edmund,Nikoloz Basilashvili,214.0
Australian Open,Andreas Seppi,Ivo Karlovic,231.0
Australian Open,Hyeon Chung,Alexander Zverev,202.0
Australian Open,Rafael Nadal,Diego Schwartzman,231.0
Australian Open,Marin Cilic,Pablo Carreno Busta,207.0
Australian Open,Grigor Dimitrov,Nick Kyrgios,206.0
Australian Open,Tennys Sandgren,Dominic Thiem,234.0
Australian Open,Hyeon Chung,Novak Djokovic,201.0
Australian Open,Marin Cilic,Rafael Nadal,227.0
Australian Open,Roger Federer,Marin Cilic,183.0
Davis Cup WG R1: AUS vs GER,Alexander Zverev,Alex De Minaur,234.0
Davis Cup WG R1: FRA vs NED,Adrian Mannarino,Robin Haase,261.0
Davis Cup WG R1: GBR vs ESP,Cameron Norrie,Roberto Bautista Agut,241.0
Davis Cup WG R1: GBR vs ESP,Albert Ramos,Cameron Norrie,223.0
Davis Cup WG R1: HUN vs BEL,Ruben Bemelmans,Marton Fucsovics,183.0
Davis Cup WG R1: ITA vs JPN,Fabio Fognini,Taro Daniel,236.0
Davis Cup WG R1: ITA vs JPN,Yuichi Sugita,Andreas Seppi,208.0
Davis Cup WG R1: ITA vs JPN,Fabio Fognini,Yuichi Sugita,248.0
Davis Cup WG R1: USA vs SRB,Sam Querrey,Laslo Djere,182.0
Davis Cup WG R1: USA vs SRB,John Isner,Dusan Lajovic,195.0
Quito,Thiago Monteiro,Alessandro Giannessi,219.0
Sao Paulo,Joao Domingues,Renzo Olivo,189.0
Indian Wells Masters,Peter Polansky,Marius Copil,192.0
Davis Cup G1 R2: PAK vs UZB,Denis Istomin,Aisam Ul Haq Qureshi,356.0
Davis Cup WG QF: ESP vs GER,David Ferrer,Philipp Kohlschreiber,291.0
Davis Cup WG QF: FRA vs ITA,Fabio Fognini,Jeremy Chardy,211.0
Davis Cup WG QF: FRA vs ITA,Lucas Pouille,Fabio Fognini,181.0
Davis Cup WG QF: KAZ vs CRO,Mikhail Kukushkin,Borna Coric,212.0
Davis Cup WG QF: USA vs BEL,John Isner,Joris De Loore,194.0
Estoril,Roberto Carballes Baena,Cameron Norrie,188.0
Istanbul,Laslo Djere,Paolo Lorenzi,192.0
Rome Masters,Philipp Kohlschreiber,Karen Khachanov,185.0
Lyon,Roberto Carballes Baena,Laslo Djere,185.0
Roland Garros,Malek Jaziri,Mikhail Youzhny,213.0
Roland Garros,Jurgen Zopp,Jack Sock,225.0
Roland Garros,Thomas Fabbiano,Matthew Ebden,220.0
Roland Garros,Jeremy Chardy,Tomas Berdych,253.0
Roland Garros,Julien Benneteau,Leonardo Mayer,185.0
Roland Garros,Martin Klizan,Laslo Djere,203.0
Roland Garros,Marco Cecchinato,Marius Copil,221.0
Roland Garros,Pablo Carreno Busta,Jozef Kovalik,181.0
Roland Garros,Roberto Bautista Agut,Denis Istomin,210.0
Roland Garros,Jaume Munar,David Ferrer,255.0
Roland Garros,Fernando Verdasco,Yoshihito Nishioka,262.0
Roland Garros,Guido Andreozzi,Taylor Fritz,215.0
Roland Garros,Stefanos Tsitsipas,Carlos Taberner,211.0
Roland Garros,Guillermo Garcia Lopez,Stan Wawrinka,210.0
Roland Garros,Maximilian Marterer,Denis Shapovalov,191.0
Roland Garros,Jurgen Zopp,Ruben Bemelmans,215.0
Roland Garros,Mischa Zverev,Sergiy Stakhovsky,192.0
Roland Garros,Pierre Hugues Herbert,Jeremy Chardy,206.0
Roland Garros,Pablo Carreno Busta,Federico Delbonis,197.0
