year	match_count
1877	21
1878	34
1879	45
1880	60
1881	72
1882	67
1883	49
1884	63
1885	49
1886	55
1887	40
1888	57
1889	56
1890	83
1891	93
1892	97
1893	106
1894	85
1895	100
1896	85
1897	93
1898	90
1899	75
1900	91
1901	92
1902	129
1903	123
1904	153
1905	206
1906	202
1907	226
1908	237
1909	267
1910	286
1911	324
1912	262
1913	296
1914	285
1915	142
1916	127
1917	63
1918	86
1919	263
1920	326
1921	286
1922	312
1923	269
1924	306
1925	376
1926	391
1927	355
1928	382
1929	385
1930	412
1931	389
1932	412
1933	428
1934	394
1935	386
1936	365
1937	401
1938	412
1939	361
1940	108
1941	63
1942	63
1943	31
1944	31
1945	46
1946	373
1947	389
1948	426
1949	391
1950	392
1951	432
1952	478
1953	468
1954	488
1955	476
1956	486
1957	445
1958	444
1959	475
1960	466
1961	464
1962	514
1963	509
1964	514
1965	528
1966	528
1967	558
1968	3742
1969	3024
1970	3163
1971	3540
1972	3160
1973	4067
1974	3671
1975	3928
1976	3798
1977	4022
1978	4785
1979	4949
1980	4795
1981	5476
1982	5565
1983	4745
1984	4322
1985	4690
1986	5043
1987	5615
1988	6536
1989	6527
1990	6208
1991	15700
1992	14977
1993	16878
1994	17400
1995	18288
1996	19423
1997	20391
1998	20233
1999	20053
2000	19797
2001	20880
2002	20028
2003	21236
2004	22430
2005	23438
2006	24319
2007	25992
2008	26664
2009	25115
2010	24701
2011	25990
2012	27979
2013	29359
2014	29956
2015	31132
2016	32640
2017	30555
2018	30162
2019	28015
2020	9336
2021	22063
2022	29239
2023	29522
2024	12361
